loan_amnt,int_rate,annual_inc,dti,fico_range_low,revol_util,target
16000.0,16.99,180000.0,9.61,665.0,57.6,0
26000.0,14.99,70000.0,2.38,770.0,21.7,1
35000.0,19.47,100000.0,15.4,665.0,54.9,0
19200.0,20.99,75000.0,28.74,665.0,71.9,1
10000.0,11.99,60000.0,28.28,665.0,93.6,0
2600.0,10.08,28000.0,14.57,700.0,31.0,0
3200.0,24.99,10728.0,19.91,690.0,91.0,1
28450.0,6.03,100000.0,8.8,715.0,54.2,0
17425.0,17.86,120000.0,11.93,660.0,56.0,0
35000.0,18.99,160000.0,20.57,700.0,97.7,0
35000.0,15.61,150000.0,9.58,695.0,95.6,0
20000.0,16.02,70000.0,30.82,665.0,80.0,1
24000.0,11.44,130000.0,22.32,715.0,47.3,0
5425.0,13.99,52000.0,23.82,720.0,42.4,0
6200.0,5.32,93000.0,8.47,705.0,0.8,0
35000.0,13.33,102000.0,19.34,700.0,78.4,0
3500.0,9.44,60000.0,9.95,665.0,40.1,0
16000.0,14.08,38000.0,25.43,720.0,33.6,0
20000.0,10.99,60000.0,23.54,725.0,47.3,0
7000.0,12.49,38000.0,31.81,745.0,9.5,0
8000.0,16.99,40184.0,26.64,670.0,63.9,0
22200.0,9.17,83054.0,24.1,720.0,46.0,0
15000.0,7.21,300000.0,6.98,680.0,15.3,0
9000.0,7.99,30000.0,10.96,695.0,31.4,0
19250.0,11.14,70000.0,13.89,685.0,77.2,0
29575.0,18.25,78038.0,10.01,660.0,96.8,0
20000.0,19.99,75000.0,27.55,660.0,17.0,1
20000.0,5.32,83000.0,19.48,785.0,17.0,0
16000.0,6.49,76000.0,14.96,690.0,68.6,0
7275.0,7.97,20232.0,9.25,740.0,32.3,0
5000.0,11.49,38400.0,20.59,695.0,34.2,0
14000.0,15.61,34000.0,28.13,700.0,99.1,0
18000.0,14.99,56000.0,28.98,695.0,65.9,0
25000.0,11.49,167500.0,22.46,675.0,75.3,0
35000.0,12.73,90000.0,3.62,685.0,1.5,0
12000.0,12.99,60000.0,12.24,665.0,55.4,0
15000.0,12.41,300000.0,5.86,690.0,72.9,1
15000.0,8.18,110000.0,26.65,745.0,35.3,1
5325.0,15.31,25000.0,20.29,680.0,42.8,1
3000.0,10.99,50000.0,18.77,725.0,40.6,0
15000.0,9.75,51500.0,28.9,705.0,21.9,1
12000.0,17.99,57000.0,15.98,705.0,19.2,1
22100.0,14.33,50000.0,16.87,700.0,59.1,0
6000.0,12.29,16000.0,39.06,690.0,41.6,0
11575.0,9.44,45000.0,15.47,715.0,78.4,0
25000.0,7.89,70000.0,19.52,730.0,50.6,0
5000.0,9.16,36000.0,11.83,665.0,24.4,0
35000.0,12.29,179000.0,19.09,670.0,67.7,0
5875.0,18.55,22000.0,23.78,660.0,87.6,0
25000.0,10.49,70000.0,21.24,720.0,32.9,0
22500.0,16.02,50000.0,28.11,705.0,83.0,0
1550.0,17.47,32300.0,17.58,665.0,80.0,0
20000.0,7.26,125000.0,7.24,690.0,61.0,0
5000.0,7.9,30681.0,8.92,765.0,11.2,0
6400.0,11.53,43000.0,15.94,690.0,50.9,1
8000.0,11.53,45000.0,15.09,660.0,30.5,1
14000.0,8.67,43000.0,19.65,690.0,71.3,0
10000.0,21.99,42061.22,18.89,685.0,98.2,0
18000.0,7.62,97000.0,22.58,775.0,20.9,0
