purpose,count,default_rate,avg_loan_amnt
debt_consolidation,780342,0.21149060283824272,15232.380225593393
credit_card,295285,0.1692872987114144,14810.987266539107
home_improvement,87507,0.17718582513398928,14144.858697018524
other,77877,0.21042156220707012,9829.488488257124
major_purchase,29427,0.18605362422265267,11838.504604614809
medical,15556,0.2178580611982515,9001.963872460787
small_business,15416,0.2970939283860924,15641.612610275039
car,14588,0.1469701124211681,8845.92130518234
moving,9480,0.23354430379746835,7863.452004219409
vacation,9065,0.19172642029784887,6192.341423055709
house,7254,0.21891370278467054,15401.419906258616
wedding,2294,0.12162162162162163,10535.156931124673
renewable_energy,933,0.23687031082529475,10018.274383708467
educational,326,0.17177914110429449,6796.319018404908
