addr_state,count,default_rate,avg_loan_amnt
AK,3190,0.19655172413793104,16470.752351097177
AL,16613,0.23632095347017396,13957.438451814844
AR,10047,0.24086792077236985,13503.953916592018
AZ,32697,0.19634828883383798,13905.130440101539
CA,196529,0.196108462364333,14676.635890886333
CO,29671,0.15526945502342354,14650.276364126588
CT,19729,0.1738050585432612,14590.57352121243
DC,3475,0.1320863309352518,15154.021582733812
DE,3783,0.19746233148295003,14172.79936558287
FL,95611,0.2147870014956438,13734.470929077199
GA,43376,0.18392659535226855,14595.831796385099
HI,6758,0.20213080793134064,15172.843296833382
IA,7,0.14285714285714285,10053.57142857143
ID,1689,0.1882770870337478,13595.885139135584
IL,51723,0.18102198248361465,14724.208282582216
IN,21716,0.21408178301713024,14032.930788358814
KS,11241,0.1675117872075438,14051.07864069033
KY,12839,0.2098294259677545,13656.729496066671
LA,15499,0.2318214078327634,14257.661784631267
MA,30977,0.1905284565968299,15298.432708138296
MD,31228,0.21311002946074037,15131.946490329192
ME,2030,0.13842364532019705,13957.86945812808
MI,35234,0.20295737072146222,13799.384117613668
MN,23968,0.19742990654205608,13974.801819092123
MO,21261,0.21297210855557122,13891.41738394243
MS,6588,0.2607771706132362,13985.78855494839
MT,3823,0.1687156683233063,13397.096521056761
NC,37785,0.20786026200873362,14191.58727008072
ND,1602,0.20474406991260924,14574.032459425718
NE,3586,0.25181260457334076,13351.74986056888
NH,6449,0.1457590324081253,14334.16421150566
NJ,48450,0.2112280701754386,15178.561403508771
NM,7362,0.2136647650095083,14250.604455311057
NV,20267,0.21922336803670991,13772.6538214832
NY,109849,0.22048448324518202,14304.22329743557
OH,43844,0.2053188577684518,13682.36702855579
OK,12281,0.23475287028743588,14257.27546616725
OR,16410,0.1440585009140768,13543.394271785497
PA,45524,0.20795624286090852,14039.337492311748
RI,5872,0.17881471389645776,13619.248126702998
SC,15993,0.16282123429000186,14179.580128806352
SD,2767,0.21322732200939645,13511.7184676545
TN,20385,0.21407897964189354,14141.02035810645
TX,110173,0.19825184028754778,15187.476968041172
UT,10036,0.17058589079314468,14577.28178557194
VA,38040,0.1994216614090431,15313.301787592009
VT,2652,0.13951734539969834,13275.197963800905
WA,29189,0.15759361403268354,14777.870088046868
WI,17732,0.18351003834874802,13770.037220843673
WV,4878,0.15518655186551866,14103.925789257893
WY,2922,0.1676933607118412,15022.672826830938
